parameter,scenario,model_param_name,min,max
probability_environmental_colonization,LE,probability_environmental_colonization,0,0.1
probability_environmental_colonization,ME,probability_environmental_colonization,0.45,0.55
probability_environmental_colonization,HE,probability_environmental_colonization,0.9,1
probability_hcw_contamination_from_contaminated_env,LE,probability_hcw_contamination_from_contaminated_env,0,0.1
probability_hcw_contamination_from_contaminated_env,ME,probability_hcw_contamination_from_contaminated_env,0.45,0.55
probability_hcw_contamination_from_contaminated_env,HE,probability_hcw_contamination_from_contaminated_env,0.9,1
probability_env_contamination_from_contaminated_hcw,LE,probability_env_contamination_from_contaminated_hcw,0,0.1
probability_env_contamination_from_contaminated_hcw,ME,probability_env_contamination_from_contaminated_hcw,0.45,0.55
probability_env_contamination_from_contaminated_hcw,HE,probability_env_contamination_from_contaminated_hcw,0.9,1
